team_id,gf,ga,comp,date
ESP,0,0,friendly,2026-03-31
ESP,1,1,friendly,2026-06-04
FRA,1,0,competitive,2024-07-01
FRA,0,0,competitive,2024-07-05
FRA,1,2,competitive,2024-07-09
FRA,2,0,competitive,2024-09-09
FRA,2,1,competitive,2024-10-14
FRA,0,2,competitive,2025-03-20
FRA,2,0,competitive,2025-03-23
FRA,4,5,competitive,2025-06-05
FRA,2,0,competitive,2025-06-08
FRA,2,1,friendly,2026-03-26
FRA,3,1,friendly,2026-03-29
FRA,1,2,friendly,2026-06-04
GER,5,1,competitive,2024-06-14
GER,1,1,competitive,2024-06-23
GER,1,2,competitive,2024-07-05
GER,2,2,competitive,2024-09-10
GER,2,1,competitive,2024-10-11
GER,1,0,competitive,2024-10-14
GER,7,0,competitive,2024-11-16
GER,1,2,competitive,2025-06-04
GER,0,2,competitive,2025-06-08
GER,4,3,friendly,2026-03-27
GER,2,1,friendly,2026-03-30
GER,2,1,friendly,2026-06-06
GHA,2,3,competitive,2022-11-24
GHA,3,2,competitive,2022-11-28
GHA,0,2,competitive,2022-12-02
GHA,0,2,friendly,2023-10-14
GHA,0,4,friendly,2023-10-17
GHA,1,2,competitive,2024-01-14
GHA,2,2,competitive,2024-01-18
GHA,0,2,competitive,2025-11-14
GHA,0,1,friendly,2025-11-18
GHA,1,5,friendly,2026-03-27
GHA,1,2,friendly,2026-03-30
GHA,0,2,friendly,2026-05-22
HAI,0,1,qualifier,2021-06-12
HAI,0,3,qualifier,2021-06-15
HAI,0,1,competitive,2021-07-11
HAI,1,4,competitive,2021-07-15
HAI,2,0,friendly,2021-09-04
HAI,2,1,competitive,2023-06-25
HAI,1,3,competitive,2023-06-29
HAI,1,5,qualifier,2025-06-10
HAI,0,1,competitive,2025-06-15
HAI,1,2,competitive,2025-06-22
HAI,0,1,friendly,2026-03-28
HAI,4,0,friendly,2026-06-02
IRN,0,1,competitive,2022-11-29
IRN,1,0,competitive,2023-06-20
IRN,2,2,qualifier,2023-11-21
IRN,2,1,competitive,2024-02-03
IRN,2,3,competitive,2024-02-07
IRN,0,0,qualifier,2024-06-11
IRN,0,0,qualifier,2024-10-10
IRN,4,1,qualifier,2024-10-15
IRN,2,2,qualifier,2025-03-25
IRN,0,1,qualifier,2025-06-05
IRN,0,0,competitive,2025-11-13
IRN,0,0,competitive,2025-11-18
IRQ,0,1,friendly,2024-01-06
IRQ,2,1,competitive,2024-01-19
IRQ,2,3,competitive,2024-01-29
IRQ,2,3,qualifier,2024-10-15
IRQ,0,0,qualifier,2024-11-14
IRQ,1,3,competitive,2024-12-28
IRQ,0,2,qualifier,2025-06-05
IRQ,1,0,qualifier,2025-06-10
IRQ,0,0,qualifier,2025-10-14
